Name,Count_doggos,Count_babies,Per_100k_doggos,Per_100k_babies
ELLIOT,8,222,40.438760551989084,65.577257098295
ELLIOTT,3,89,15.164535206995906,26.28998144931646
ELLIS,5,66,25.274225344993177,19.495941299493104
ELOISE,26,173,131.42597179396452,51.10299764867132
ELSA,23,89,116.26143658696861,26.28998144931646
ELVIN,1,10,5.0548450689986355,2.9539304999231977
ELVIS,47,67,237.57771824293584,19.791334349485425
EMERSON,3,101,15.164535206995906,29.834698049224297
EMILIO,5,135,25.274225344993177,39.87806174896317
EMILY,17,2518,85.9323661729768,743.7996998806613
EMMA,84,2932,424.60698579588535,866.0924225774816
EMMETT,2,86,10.109690137997271,25.4038022993395
ENZO,31,61,156.7001971389577,18.018976049531506
ERIC,2,967,10.109690137997271,285.64507934257324
ERICA,2,65,10.109690137997271,19.200548249500784
ERIN,1,113,5.0548450689986355,33.37941464913214
ESME,3,54,15.164535206995906,15.951224699585268
ESTELLE,6,11,30.32907041399181,3.2493235499155175
ESTHER,4,1450,20.219380275994542,428.31992248886365
ESTRELLA,2,15,10.109690137997271,4.4308957498847965
ETHAN,1,4245,5.0548450689986355,1253.9434972173974
EVA,18,845,90.98721124197543,249.6071272435102
EVAN,1,1155,5.0548450689986355,341.17897274112937
EVANGELINE,3,85,15.164535206995906,25.108409249347183
EVE,8,107,40.438760551989084,31.607056349178215
EVELYN,3,787,15.164535206995906,232.47433034395567
EVERETT,1,86,5.0548450689986355,25.4038022993395
EVIE,22,22,111.20659151796997,6.498647099831035
EZEKIEL,1,96,5.0548450689986355,28.3577327992627
EZRA,5,368,25.274225344993177,108.70464239717369
FABIAN,1,72,5.0548450689986355,21.268299599447023
FAITH,20,402,101.0969013799727,118.74800609691255
FARAH,1,11,5.0548450689986355,3.2493235499155175
FATIMA,1,454,5.0548450689986355,134.10844469651317
FELIPE,2,24,10.109690137997271,7.089433199815675
FELIX,17,380,85.9323661729768,112.24935899708152
FERNANDO,2,150,10.109690137997271,44.30895749884797
FILIP,1,50,5.0548450689986355,14.769652499615988
FINLEY,13,21,65.71298589698226,6.203254049838716
FINN,71,170,358.8939998989031,50.216818498694366
FIONA,57,455,288.1261689329222,134.4038377465055
FRANCES,16,104,80.87752110397817,30.720877199201258
FRANCESCA,3,203,15.164535206995906,59.964789148440914
FRANCESCO,1,86,5.0548450689986355,25.4038022993395
FRANCIS,9,64,45.493605620987715,18.905155199508467
FRANCISCO,2,151,10.109690137997271,44.60435054884029
FRANK,31,230,156.7001971389577,67.94040149823356
FRANKLIN,35,52,176.91957741495224,15.360438599600629
FREDDY,19,25,96.04205631097408,7.384826249807994
FREDERICK,1,77,5.0548450689986355,22.745264849408624
FREYA,11,36,55.603295758984984,10.634149799723511
FRIEDA,1,23,5.0548450689986355,6.794040149823355
GABRIEL,8,1819,40.438760551989084,537.3199579360297
GABRIELLA,4,1133,20.219380275994542,334.68032564129834
GABRIELLE,4,336,20.219380275994542,99.25206479741945
GARY,13,25,65.71298589698226,7.384826249807994
GAVIN,3,598,15.164535206995906,176.64504389540724
